grupo_experimento,algoritmo,heuristica,tramo,coste_ponderado,movimientos,celdas,nodos_expandidos,epsilon_inicial,epsilon_final,suelo_cambiante,coste_zona_1_inicial,coste_zona_2_inicial,coste_zona_3_inicial,coste_zona_1_final,coste_zona_2_final,coste_zona_3_final
estatico,Dijkstra,Nula,inicio->objetivo,109.07106781186548,107,108,1684,,,False,1.0,10.0,20.0,1.0,10.0,20.0
estatico,A*,Nula,inicio->objetivo,109.07106781186548,107,108,1684,,,False,1.0,10.0,20.0,1.0,10.0,20.0
estatico,A*,Manhattan,inicio->objetivo,109.07106781186548,107,108,1114,,,False,1.0,10.0,20.0,1.0,10.0,20.0
estatico,A*,Euclidiana,inicio->objetivo,109.07106781186548,107,108,1288,,,False,1.0,10.0,20.0,1.0,10.0,20.0
estatico,A*,Octil,inicio->objetivo,109.07106781186548,107,108,1252,,,False,1.0,10.0,20.0,1.0,10.0,20.0
estatico,Greedy,Nula,inicio->objetivo,109.07106781186548,107,108,1684,,,False,1.0,10.0,20.0,1.0,10.0,20.0
estatico,Greedy,Manhattan,inicio->objetivo,168.2842712474619,106,107,1655,,,False,1.0,10.0,20.0,1.0,10.0,20.0
estatico,Greedy,Euclidiana,inicio->objetivo,237.94112549695438,114,115,1469,,,False,1.0,10.0,20.0,1.0,10.0,20.0
estatico,Greedy,Octil,inicio->objetivo,168.2842712474619,106,107,1724,,,False,1.0,10.0,20.0,1.0,10.0,20.0
ara,ARA*,Manhattan,inicio->objetivo,130.2842712474619,116,117,5912,5,1.0,True,1.0,10.0,20.0,30.0,2.0,20.0
ara,ARA*,Euclidiana,inicio->objetivo,130.2842712474619,116,117,5934,5,1.0,True,1.0,10.0,20.0,30.0,2.0,20.0
ara,ARA*,Octil,inicio->objetivo,130.28427124746187,116,117,5987,5,1.0,True,1.0,10.0,20.0,30.0,2.0,20.0
