algoritmo,heuristica,longitud_ruta_celdas,coste_total_pasos,nodos_expandidos,tiempo_ejecucion_s,eficiencia_camino_sobre_nodos_pct,factor_expansion_nodos_por_celda,diferencia_coste_frente_astar_manhattan
A*,Manhattan,1325,1324,48057,0.06280412501655519,2.757142559876813,36.26943396226415,igual
A*,Euclidiana,1325,1324,111767,0.14111049997154623,1.1855019818014263,84.35245283018868,igual
A*,Energía,1325,1324,242295,0.32377483299933374,0.5468540415609071,182.86415094339623,igual
A*,Ponderada,1325,1324,48057,0.06360875000245869,2.757142559876813,36.26943396226415,igual
A*_Weighted,Manhattan,1331,1330,1358,0.003251665970310569,98.01178203240059,1.0202854996243427,+6 pasos
A*_Weighted,Euclidiana,1325,1324,1372,0.0021999171003699303,96.5743440233236,1.0354716981132075,igual
A*_Weighted,Energía,1325,1324,199461,0.2575368749676272,0.664290262256782,150.53660377358491,igual
A*_Weighted,Ponderada,1331,1330,1358,0.002615500008687377,98.01178203240059,1.0202854996243427,+6 pasos
A*_Multi,Manhattan,1325,1324,177479,0.2360281249275431,0.7465671994996591,133.9464150943396,igual
A*_Multi,Euclidiana,1325,1324,207292,0.2746249580522999,0.6391949520483183,156.44679245283018,igual
A*_Multi,Energía,1325,1324,286242,0.3828774580033496,0.46289503287428124,216.03169811320754,igual
A*_Multi,Ponderada,1325,1324,177479,0.23708995804190636,0.7465671994996591,133.9464150943396,igual
